han,bs,pinyin,middle_chinese,gloss
㠯,ləʔ,yǐ,yiX,"take, use"
以,ləʔ,yǐ,yiX,"take, use"
苡,ləʔ,yǐ,yiX,Plantago
已,ɢrəʔ,yǐ,yiX,cease; already
胣,lajʔ,yǐ,yeX,disembowel
縊,qˤiks,yì,'ejH,strangle
意,ʔrəks,yì,'iH,thought (n.)
懿,ʔriks,yì,'ijH,repress
㦤,qrits,yì,'ijH,excellent
饐,qriks,yì,'ijH,choke
抑,ʔrik,yì,'ik,"and, but, or"
抑,ʔik,yì,'ik,"rub, repress"
億,ʔrək,yì,'ik,"100,000"
憶,ʔrək,yì,'ik,remember
臆,ʔrək,yì,'ik,bosom
邑,qrəp,yì,'ip,"city, town"
浥,qrip,yì,'ip,"moist, moisten"
衣,ʔrəjs,yì,'j+jH,wear (v.t.)
瘞,qreps,yì,'jejH,sacrifice by burying
縊,qiks,yì,'jieH,strangle
益,qik,yì,'jiek,increase
嗌,qik,yì,'jiek,throat
膉,qik,yì,'jiek,throat
挹,qip,yì,'jip,to bow; suppress
挹,qip,yì,'jip,to ladle out
挹,qip,yì,'jip,suppress
唈,qˤəp,yì,'op,short of breath
羿,ŋˤers,yì,ngejH,(name of legendary archer)
詣,ŋˤijs,yì,ngejH,arrive
鷁,m-ɢˤek,yì,ngek,kind of aquatic bird
劓,ŋrəts,yì,ngijH,cut off the nose
豙,ŋəts,yì,ngj+jH,enraged boar
毅,ŋəts,yì,ngj+jH,bold
藙,ŋəts,yì,ngj+jH,Zanthoxylum (Sichuan pepper)
仡,ŋət,yì,ngj+t,"great, powerful"
義,ŋrajs,yì,ngjeH,duty; justice
議,ŋrajs,yì,ngjeH,discuss
㓷,ŋrats,yì,ngjejH,cut off the nose
埶,ŋets,yì,ngjiejH,to plant
蓺,ŋets,yì,ngjiejH,to plant
藝,ŋets,yì,ngjiejH,"cultivation, art, skill"
乂,ŋats,yì,ngjojH,"mow, cut (v.)"
乂,ŋats,yì,ngjojH,mow; regulate
刈,ŋats,yì,ngjojH,"mow, cut"
異,ɢrəks,yì,yiH,different
异,ɢrəks,yì,yiH,different
弋,lək,yì,yik,shoot arrow with string attached
翊,ɢrʷəp,yì,yik,next day
翌,ɢrʷəp,yì,yik,wing
翌,ɢrʷəp,yì,yik,next day
翼,ɢrʷəp,yì,yik,wing
溢,N-qrik,yì,yit,overflow
佾,N.rit,yì,yit,row of dancers
逸,lit,yì,yit,flee
鎰,ɢrik,yì,yit,(an ancient weight)
易,leks,yì,yeH,easy
勩,laps,yì,yejH,"toil, fatigue"
裔,lats,yì,yejH,posterity; border
亦,ɢrAk,yì,yek,armpit
奕,ɢrAk,yì,yek,"great, ample (redupl.)"
弈,ɢrAk,yì,yek,uneasy
譯,lAk,yì,yek,interpret
驛,lAk,yì,yek,post-horse
易,lek,yì,yek,change; exchange
蜴,lek,yì,yek,lizard
亦,ɢrAk,yì,yek,also
役,ɢʷek,yì,ywek,war expedition; service
疫,ɢʷek,yì,ywek,epidemic
音,qrəm,yīn,'im,"sound, tone"
陰,qrum,yīn,'im,dark
駰,ʔrin,yīn,'in,grey and white horse
殷,ʔər,yīn,'j+n,殷殷 distressed
殷,ʔər,yīn,'j+n,"ample, many"
慇,ʔər,yīn,'j+n,grieved
殷,ʔər,yīn,'j+n,(dynastic name)
愔,qim,yīn,'jim,"mild, peaceful"
垔,qin,yīn,'jin,"dam up, block; mound"
陻,qin,yīn,'jin,"dam up, block; mound"
禋,qin,yīn,'jin,sacrifice
因,ʔin,yīn,'jin,rely on
吟,m-qʰrəm,yín,ngim,"chant, intone"
誾,ŋrən,yín,ngin,"affable, reasonable"
銀,ŋrən,yín,ngin,silver
垠,ŋər,yín,ngj+n,"raised border, dike"
圻,ŋər,yín,ngj+n,"raised border, dike"
寅,ɢrər,yín,yij,3rd earthly branch
淫,N.rəm,yín,yim,excess; licentious
㸒,N.rəm,yín,yim,to covet
夤,ɢrər,yín,yin,"small of the back, region of the reins"
寅,ɢrər,yín,yin,3rd earthly branch
飲,qrumʔ,yǐn,'imX,drink (v.)
隱,ʔrənʔ,yǐn,'j+nX,grieved; suffering
隱,ʔrənʔ,yǐn,'j+nX,conceal
蚓,ɢrərʔ,yǐn,yinX,earth-worm (khjuw.yinX)
螾,ɢrərʔ,yǐn,yinX,earthworm
引,linʔ,yǐn,yinX,draw the bow
朄,linʔ-s,yǐn,yinH,a kind of drum
引,linʔ-s,yǐn,yinH,draw the bow
尹,m-qurʔ,yǐn,ywinX,govern; governor
蔭,mə.qrums,yìn,'imH,shade
飲,qrəmʔ-s,yìn,'imH,give to drink
隱,ʔrərʔ-s,yìn,'j+nH,lean on
印,ʔiŋs,yìn,'jinH,seal
胤,ɢəns,yìn,yinH,descendants
罌,ʔˤreŋ,yīng,'eang,"jar, vase"
罃,ʔˤreŋ,yīng,'eang,[in proper name]
鷹,qrəŋ,yīng,'ing,"eagle, falcon"
應,qrəŋ,yīng,'ing,ought
膺,qrəŋ,yīng,'ing,breast(plate); oppose
英,ʔraŋ,yīng,'jaeng,young grass plants
嬰,ʔeŋ,yīng,'jieng,surround; necklace
嬰,ʔeŋ,yīng,'jieng,baby
纓,ʔeŋ,yīng,'jieng,ribbon
熒,N-qˤʷeŋ,yíng,hweng,dazzle
螢,m-qˤʷeŋ,yíng,hweng,glow-worm
迎,ŋraŋ,yíng,ngjaeng,go to meet
蠅,mrəŋ,yíng,ying,fly (n.)
贏,ɢeŋ,yíng,yeng,profit; surplus
盈,leŋ,yíng,yeng,fill
楹,leŋ,yíng,yeng,pillar
營,ɢʷeŋ,yíng,yweng,"demarcate, encamp"
影,qraŋʔ,yǐng,'jaengX,shadow (n.)
郢,leŋʔ,yǐng,yengX,[place name]
穎,ɢʷeŋʔ,yǐng,ywengX,point of an ear of grain
迎,ŋraŋs,yìng,ngjaengH,go to meet
邕,qroŋ,yōng,'jowng,city moat
癰,qroŋ,yōng,'jowng,ulcer
庸,loŋ,yōng,yowng,use; advantage
傭,loŋ,yōng,yowng,hire
永,ɢrʷaŋʔ,yǒng,hjwaengX,long (time)
泳,ɢrʷaŋʔ-s,yǒng,hjwaengH,"go in water, wade"
咏,ɢrʷaŋs,yǒng,hjwaengH,chant (v.)
詠,ɢrʷaŋs,yǒng,hjwaengH,chant (v.)
俑,loŋʔ,yǒng,yowngX,grave figures
勇,loŋʔ,yǒng,yowngX,brave
踊,loŋʔ,yǒng,yowngX,leap
用,loŋs,yòng,yowngH,use (v.)
幽,ʔriw,yōu,'jiw,dark; secluded
憂,ʔru,yōu,'juw,"grief, grieved"
優,ʔru,yōu,'juw,entertainer; liberal
攸,liw,yōu,yuw,place where
悠,liw,yōu,yuw,long-brooding
尤,ɢʷə,yóu,hjuw,fault; even more
訧,ɢʷə,yóu,hjuw,"fault, blame"
游,Nru,yóu,yuw,"float, swim"
遊,Nru,yóu,yuw,wander about
斿,N.ru,yóu,yuw,pendants of a banner
油,lu,yóu,yuw,flow(ing)
猶,ɢru,yóu,yuw,"still, yet"
猶,ɢru,yóu,yuw,similar
由,lu,yóu,yuw,follow; from
友,ɢʷəʔ,yǒu,hjuwX,friend
有,ɢʷəʔ,yǒu,hjuwX,"have, exist"
酉,Nruʔ,yǒu,yuwX,10th earthly branch
酉,Nruʔ,yǒu,yuwX,wine
酉,Nruʔ,yǒu,yuwX,old
牖,luʔ,yǒu,yuwX,window
莠,luʔ,yǒu,yuwX,weeds
幼,ʔriws,yòu,'jiwH,young
右,ɢʷəʔ,yòu,hjuwX,right hand
祐,ɢʷəʔ,yòu,hjuwX,"help, blessing"
囿,ɢʷəks,yòu,hjuwH,"park, garden"
又,ɢʷəʔ-s,yòu,hjuwH,"also, in addition"
右,ɢʷəʔ-s,yòu,hjuwH,right hand
佑,ɢʷəʔ-s,yòu,hjuwH,assist
祐,ɢʷəʔ-s,yòu,hjuwH,"help, blessing"
囿,ɢʷək,yòu,hjuwk,"park, garden"
誘,luʔ,yòu,yuwX,lead; influence
迂,qrʷa,yū,'ju,astray; far
紆,qrʷa,yū,'ju,"bent, crooked"
迂,ɢrʷa,yū,hju,"bend, deflect; far away"
於,ʔa,yú,'jo,at (locative preposition)
歈,lˤo,yú,duw,a kind of song
㬰,grujs,yú,gwijH,basket
盂,ɢrʷa,yú,hju,a formation of a hunting party
竽,ɢrʷa,yú,hju,reed organ
雩,ɢrʷa,yú,hju,sacrifice for rain
于,ɢrʷa,yú,hju,go; at
于,Cʷa,yú,hju,單于 chányú: Xiōngnú  ruler (W. Hàn)
魚,r.ŋa,yú,ngjo,fish (n.)
漁,ŋra,yú,ngjo,to fish
䱷,ŋra,yú,ngjo,to fish
鋙,ŋra,yú,ngjo,"dzrjo.ngjo irregular, uneven"
虞,ŋrʷa,yú,ngju,foresee
虞,ŋrʷa,yú,ngju,gamester; forester
隅,ŋro,yú,ngju,"angle, corner"
娛,ŋrʷa,yú,ngju,rejoice
余,la,yú,yo,"1sg., prob. a polite form"
餘,la,yú,yo,remains; surplus
予,laʔ,yú,yo,"I, we"
輿,m-qra,yú,yo,"vehicle, carriage; carry on shoulders"
舁,m-qraʔ,yú,yoX,give
臾,ɢro,yú,yu,"pull, drag"
諛,ɢro,yú,yu,flatter (v.)
俞,lo,yú,yu,"yes, agree; satisfied, at ease"
愉,lo,yú,yu,enjoy
榆,lo,yú,yu,elm
渝,lo,yú,yu,change (v.)
踰,lo,yú,yu,pass over
逾,lo,yú,yu,transgress
蝓,Cə.lo,yú,zyu,snail
傴,qroʔ,yǔ,'juX,humpback
雨,C.ɢrʷaʔ,yǔ,hjuX,rain
宇,ɢrʷaʔ,yǔ,hjuX,eaves
羽,ɢrʷaʔ,yǔ,hjuX,"feather, wing"
禹,ɢrʷaʔ,yǔ,hjuX,insect; proper name
圄,m-qʰraʔ,yǔ,ngjoX,prison
圉,m-qʰraʔ,yǔ,ngjoX,prison; keep in enclosure
語,ŋraʔ,yǔ,ngjoX,speak
鋙,ŋraʔ,yǔ,ngjoX,"dzrjoX-ngjoX irregular, uneven"
予,laʔ,yǔ,yoX,give; together with
与,m-qraʔ,yǔ,yoX,give; for; and
與,m-qraʔ,yǔ,yoX,give; for; and
庾,ɢroʔ,yǔ,yuX,stacks of grain in the field
鬱,qut,yù,'jut,blocked; anxious
蔚,ʔut,yù,'jut,Artemisia
彧,qʷək,yù,'juwk,flourishing
郁,qʷək,yù,'juwk,"stately, elegant"
奧,ʔruk,yù,'juwk,cove in the bank of a stream
薁,ʔruk,yù,'juwk,wild vine
芋,ɢrʷas,yù,hjuH,taro (Colocasia antiquorum?)
雨,ɢrʷaʔ-s,yù,hjuH,rain (v.t.)
或,ɢrʷək,yù,hwik,territory
域,ɢrʷək,yù,hwik,territory
緎,ɢrʷək,yù,hwik,bundle of threads
汩,ɢrʷət,yù,hwit,flow; go fast
御,m-qʰraʔ,yù,ngjoX,ward off; withstand
禦,m-qʰraʔ,yù,ngjoX,"ward off, withstand; sacrifice"
御,ŋras,yù,ngjoH,drive a chariot (loan)
馭,ŋras,yù,ngjoH,drive a chariot
語,ŋraʔ-s,yù,ngjoH,tell
玉,ŋrok,yù,ngjowk,jade
獄,ŋrok,yù,ngjowk,lawsuit; prison
寓,ŋros,yù,ngjuH,lodge (v.)
遇,ŋros,yù,ngjuH,meet with
緎,qʰrʷək,yù,xwik,bundle of threads
譽,m-qra,yù,yo,praise (v.)
譽,ɢras,yù,yoH,joy
豫,laʔ-s,yù,yoH,go on tour
豫,laʔ-s,yù,yoH,go on inspection tour
譽,m-qras,yù,yoH,"praise, renown"
鸒,m-qras,yù,yoH,a kind of crow
與,ɢraʔ-s,yù,yoH,participate in
欲,ɢrok,yù,yowk,desire (v.)
愈,loʔ,yù,yuX,increase
喻,los,yù,yuH,understand; metaphor
儥,liwk,yù,yuwk,sell
𧶠,luk,yù,yuwk,sell
育,m-quk,yù,yuwk,"breed, produce"
毓,m-quk,yù,yuwk,to produce
鬻,m-quk,yù,yuwk,nourish
昱,ɢrʷəp,yù,yuwk,next day
煜,ɢrʷəp,yù,yuwk,"shine, gleam"
繘,N.qʷit,yù,ywit,well-rope
聿,N.rut,yù,ywit,"following, thereupon"
聿,mrut,yù,ywit,writing stylus or brush (pron. in Chǔ 楚 ap. Shuōwén; E. Hàn)
遹,ɢʷit,yù,ywit,"go awry, perverse"
悁,qʷen,yuān,'jwien,dissatisfied
蜎,qʷenʔ,yuān,'jwienX,"crawl (as an insect); soft, bending"
淵,ʔˤʷiŋ,yuān,'wen,abyss
肙,qˤʷen,yuān,'wen,small worm (Shuōwén)
蜎,qˤʷen,yuān,'wen,"crawl (as an insect); soft, bending"
蜎,m-k-qʷenʔ,yuān,gjwienX,"crawl (as an insect); soft, bending"
員,ɢrʷen,yuán,hjwen,circle; round
圓,ɢrʷen,yuán,hjwen,round
圜,ɢrʷen,yuán,hjwen,round
園,C.ɢʷan,yuán,hjwon,garden
猨,ɢʷan,yuán,hjwon,monkey
援,ɢʷan,yuán,hjwon,pull up
袁,ɢʷan,yuán,hjwon,long robe
轅,ɢʷan,yuán,hjwon,carriage-pole
垣,ɢʷar,yuán,hjwon,wall
爰,ɢʷan,yuán,hjwon,"there, then, thereupon"
原,N-ɢʷar,yuán,ngjwon,"spring, source; origin"
原,N-ɢʷar,yuán,ngjwon,high plain (n.)
源,N-ɢʷar,yuán,ngjwon,"spring, source"
元,ŋor,yuán,ngjwon,head; first
捐,ɢʷen,yuán,ywen,abandon; remove
緣,lon,yuán,ywen,"go along, follow"
苑,ʔorʔ,yuǎn,'jwonX,resentment
苑,ʔorʔ,yuǎn,'jwonX,park for hunting
遠,C.ɢʷanʔ,yuǎn,hjwonX,far
怨,ʔors,yuàn,'jwonH,resentment
媛,ɢrʷans,yuàn,hjwenH,a beauty
院,ɢrʷans,yuàn,hjwenH,wall round a courtyard
𩕾,ŋons,yuàn,ngjwonH,to wish
願,ŋons,yuàn,ngjwonH,to wish
約,qrewk,yuē,'jak,"bind (v.), make an agreement"
葯,qˤrewk,yuē,'jak,Iris leaves
曰,ɢʷat,yuē,hjwot,say
戉,ɢʷat,yuè,hjwot,a kind of axe
鉞,ɢʷat,yuè,hjwot,a kind of axe
越,ɢʷat,yuè,hjwot,pass over
粵,ɢʷat,yuè,hjwot,"generous, favorable"
樂,ŋˤrawk,yuè,ngaewk,music
嶽,ŋˤrok,yuè,ngaewk,"mountain, peak"
岳,ŋˤrok,yuè,ngaewk,"mountain, peak"
月,ŋʷat,yuè,ngjwot,"moon, month"
刖,ŋˤrʷat,yuè,ngwaet,amputate a foot
龠,lewk,yuè,yak,flute; key; tube
籥,lewk,yuè,yak,flute; key; tube
躍,lewk,yuè,yak,"leap, jump"
蜕,lot,yuè,ywet,exuviae of insects or reptiles
悦,lot,yuè,ywet,pleased
閲,lot,yuè,ywet,"count, sum up"
閲,lot,yuè,ywet,inspect
説,lot,yuè,ywet,pleased
員,ɢʷən,yún,hjun,(a particle)
雲,ɢʷən,yún,hjun,cloud
芸,ɢʷən,yún,hjun,"ample, rich"
云,ɢʷər,yún,hjun,say
筠,ɢrʷin,yún,hwin,rind of bamboo
匀,N-qʷin,yún,ywin,"even, uniform"
匀,ɢʷiŋ,yún,ywin,"little, few (Shuōwén)"
藴,ʔunʔ,yǔn,'junX,"accumulate, block up"
隕,ɢrʷənʔ,yǔn,hwinX,fall down
允,lurʔ,yǔn,ywinX,truly
狁,lurʔ,yǔn,ywinX,獫狁 xjemX.ywinX (name of a northern tribe)
愠,ʔuns,yùn,'junH,"anger, angry"
藴,ʔunʔ-s,yùn,'junH,"accumulate, block up"
運,ɢʷərs,yùn,hjunH,"turn round, move"
韻,m-qrʷins,yùn,hwinH,harmony; rhyme
韵,m-qrʷins,yùn,hwinH,rhyme
均,m-qrʷins,yùn,hwinH,rhyme
孕,liŋs,yùn,yingH,pregnant
帀,tsˤəp,zā,tsop,"a round, a circle"
雜,dzˤup,zá,dzop,mixed
災,tsˤə,zāi,tsoj,calamity
灾,tsˤə,zāi,tsoj,calamity
𢦒,tsˤə,zāi,tsoj,"hurt, damage (v.)"
𢦏,tsˤə,zāi,tsoj,"hurt, damage (v.)"
哉,tsˤə,zāi,tsoj,begin
哉,tsˤə,zāi,tsoj,(particle)
栽,tsˤə,zāi,tsoj,plant (v.)
烖,tsˤə,zāi,tsoj,calamity
載,tsˤəʔ,zǎi,tsojX,year
宰,tsˤəʔ,zǎi,tsojX,steward; minister
在,dzˤəʔ,zài,dzojX,"be at, be present"
載,m-tsˤəʔ-s,zài,dzojH,load on a vehicle (v.t.)
再,tsˤəʔ-s,zài,tsojH,twice; a second time
載,tsˤəʔ-s,zài,tsojH,record (v.)
載,tsˤəʔ-s,zài,tsojH,be conveyed in a vehicle
簪,Cə.tsˤəm,zān,tsom,hairpin
簪,tsrəm,zān,tsrim,hairpin
噆,tsˤəp,zǎn,tsop,sting and suck (mosquito)
暫,dzˤams,zàn,dzamH,suddenly
贊,tsˤarʔ-s,zàn,tsanH,assist
臧,tsˤaŋ,zāng,tsang,good
贓,tsˤaŋ,zāng,tsang,stolen goods
藏,m-tsʰˤaŋs,zàng,dzangH,"store, repository (n.)"
葬,tsˤaŋs,zàng,tsangH,bury
糟,tsˤu,zāo,tsaw,dregs
遭,tsˤu,zāo,tsaw,encounter (v.)
鑿,dzˤawk,záo,dzak,chisel
鑿,dzˤawk,záo,dzowk,chisel
早,Nə.tsˤuʔ,zǎo,tsawX,early
藻,tsˤawʔ,zǎo,tsawX,kind of water plant
棗,tsˤuʔ,zǎo,tsawX,jujube
澡,mə.tsˤawʔ,zǎo,tsawX,wash (v.)
繰,mə.tsˤawʔ,zǎo,tsawX,bleach; wash
蚤,tsˤuʔ,zǎo,tsawX,flea
皁,dzˤuʔ,zào,dzawX,"acorn, black-dyeing fruit"
造,dzˤuʔ,zào,dzawX,make
燥,C.sˤawʔ,zào,sawX,dry
譟,C.sˤaws,zào,sawH,shout
竈,tsˤuks,zào,tsawH,"cooking-place, stove"
造,mə.tsʰˤuʔ-s,zào,tshawH,go to
澤,lˤrak,zé,draek,marsh; moisture
則,tsˤək,zé,tsok,then
則,tsˤək,zé,tsok,"rule, pattern"
柞,tsˤrak,zé,tsraek,clear brush
責,s-tˤrek,zé,tsreak,demand payment
責,s-tˤrek,zé,tsreak,blame
夨,tsrək,zè,tsrik,incline the head
𠨮,tsrək,zè,tsrik,"slanting, oblique"
仄,tsrək,zè,tsrik,"slanting, oblique"
𣅔,tsrək,zè,tsrik,sun slanting to west
昃,tsrək,zè,tsrik,sun slanting to west
𣅛,tsrək,zè,tsrik,sun slanting to west
賊,k.dzˤək,zéi,dzok,"injure; murderer, bandit"
譖,tsrəms,zèn,tsrimH,accuse
繒,dzəŋ,zēng,dzing,silk
曾,tsˤəŋ,zēng,tsong,remote (ancestor)
憎,tsˤəŋ,zēng,tsong,hate
增,s-tˤəŋ,zēng,tsong,increase
贈,dzˤəŋs,zèng,dzongH,give
甑,S-təŋs,zèng,tsingH,boiler for steaming rice
柤,tsˤra,zhā,tsrae,kind of fruit tree
札,s-qˤrət,zhá,tsreat,"strip (n.), tablet"
眨,mə.tsˤrap,zhǎ,tsreap,"blink, wink"
乍,dzˤraks,zhà,dzraeH,suddenly
詐,tsˤraks,zhà,tsraeH,treacherous
摘,tˤrek,zhāi,treak,pluck (v.)
齋,tsˤrəj,zhāi,tsreaj,purify oneself
宅,m-tˤrak,zhái,draek,residence
廌,dˤreʔ,zhài,dreaX,解廌 heaX.dreaX (legendary animal)
債,s-tˤreks,zhài,tsreaH,debt
責,s-tˤreks,zhài,tsreaH,debt
祭,tsˤrets,zhài,tsreajH,(name of a state)
瘵,tsˤrets,zhài,tsreajH,suffer; distress
飦,C.qˤan,zhān,kan,thick gruel of rice
沾,trem,zhān,trjem,moisten
鱣,tran,zhān,trjen,a kind of fish
厃,t.qam,zhān,tsyem,look upwards
瞻,t.qam,zhān,tsyem,"see, look at"
詹,tam,zhān,tsyem,garrulous
噡,tam,zhān,tsyem,"speak, chat"
占,tem,zhān,tsyem,prognosticate
饘,t-qan,zhān,tsyen,gruel (thick)
氈,tan,zhān,tsyen,felt (n.)
鸇,tan,zhān,tsyen,kind of hawk or falcon
饘,t-qanʔ,zhān,tsyenX,thick gruel
輾,trenʔ,zhǎn,trjenX,"輾轉 toss and turn (Ode 1.2, 145.3)"
搌,trenʔ,zhǎn,trjenX,𢵈搌 ugly and long (?)
展,trenʔ,zhǎn,trjenX,roll over; unfold
展,trans,zhǎn,trjenH,ritual robe
斬,tsramʔ,zhǎn,tsreamX,cut off
盞,tsrarʔ,zhǎn,tsreanX,cup
棧,dzˤranʔ,zhàn,dzraenX,shed
棧,dzˤrans,zhàn,dzraenH,shed
棧,dzranʔ,zhàn,dzreanX,shed
轏,dzranʔ,zhàn,dzreanX,a kind of carriage
襢,tranʔ,zhàn,trjenX,to bare
襢,tranʔ,zhàn,trjenX,(a ceremonial garment)
襢,tranʔ-s,zhàn,trjenH,(a ceremonial garment)
戰,tars,zhàn,tsyenH,to fear
戰,tars,zhàn,tsyenH,battle
張,C.traŋ,zhāng,trjang,draw a bow
章,taŋ,zhāng,tsyang,brilliant; distinctive mark; to display
獐,taŋ,zhāng,tsyang,fallow-deer
璋,taŋ,zhāng,tsyang,(jade) insignium
長,traŋʔ,zhǎng,trjangX,grow; elder
掌,k.taŋʔ,zhǎng,tsyangX,palm of the hand
丈,draŋʔ,zhàng,drjangX,ten feet
帳,traŋs,zhàng,trjangH,curtain
啁,tˤriw,zhāo,traew,"twitter, noise"
朝,traw,zhāo,trjew,morning
昭,taw,zhāo,tsyew,bright
爪,tsˤruʔ,zhǎo,tsraewX,claw
㕚,tsˤruʔ,zhǎo,tsraewX,claw
沼,tawʔ,zhǎo,tsyewX,pool
濯,lˤrewks,zhào,draewH,wash clothes
櫂,lˤrewks,zhào,draewH,oar
趙,drewʔ,zhào,drjewX,(surname)
兆,lrawʔ,zhào,drjewX,great number
召,draws,zhào,drjewH,summon
罩,tˤrawks,zhào,traewH,covering basket
炤,taws,zhào,tsyewH,shine on
照,taws,zhào,tsyewH,shine on
詔,taws,zhào,tsyewH,"tell, announce"
遮,tA,zhē,tsyae,to cover
謫,m-tˤrek,zhé,dreak,"blame, punish"
蟄,drip,zhé,drip,hibernate; cluster
轍,dret,zhé,drjet,wheel-track
慹,nˤip,zhé,nep,afraid
輒,t-nˤep,zhé,tep,"paralysed, unable to move"
乇,tˤrak,zhé,traek,plant leaves
謫,C.tˤrek,zhé,treak,blame (v.)
輒,trep,zhé,trjep,sides of a carriage box
耴,t-nrep,zhé,trjep,hanging ears (used as N.Pr.)
哲,tret,zhé,trjet,wise
悊,tret,zhé,trjet,wise
晢,tats,zhé,tsyejH,bright
懾,t.nep,zhé,tsyep,to fear
慹,t-nep,zhé,tsyep,afraid; to fear
晢,tat,zhé,tsyet,bright
折,tet,zhé,tsyet,bend; break (v.t.)
者,tAʔ,zhě,tsyaeX,(nominalizing particle)
赭,tAʔ,zhě,tsyaeX,red earth; red pigment
柘,tAks,zhè,tsyaeH,a kind of mulberry tree
蔗,tAks,zhè,tsyaeH,sugarcane
椹,trəm,zhēn,trim,chopping-block
珍,trən,zhēn,trin,precious thing
貞,treŋ,zhēn,trjeng,straight; correct
貞,treŋ,zhēn,trjeng,divine (v.)
蓁,tsrin,zhēn,tsrin,luxuriant
榛,tsrin,zhēn,tsrin,hazel
箴,t.kəm,zhēn,tsyim,needle
鍼,t.kəm,zhēn,tsyim,needle
針,t.kəm,zhēn,tsyim,needle
斟,t.qəm,zhēn,tsyim,deliberate (v.)
甄,t.qin,zhēn,tsyin,potter's wheel
真,tin,zhēn,tsyin,"true, real"
縝,tin,zhēn,tsyin,"dense, fine-textured"
振,tər,zhēn,tsyin,numerous; majestic
診,m-trənʔ-s,zhěn,drinH,examine
辴,tʰrər,zhěn,trhij,laugh
辴,tʰrərʔ,zhěn,trhinX,laugh
枕,t.kəmʔ,zhěn,tsyimX,pillow
㐱,tənʔ,zhěn,tsyinX,thick hair
稹,tinʔ,zhěn,tsyinX,"dense, compact"
鬒,tinʔ,zhěn,tsyinX,black hair
畛,tənʔ,zhěn,tsyinX,path between fields
袗,tənʔ,zhěn,tsyinX,unlined garment
軫,tənʔ,zhěn,tsyinX,crossboard at back of carriage
診,tənʔ,zhěn,tsyinX,examine
朕,lrəmʔ,zhèn,drimX,"I, we, our"
酖,lrəms,zhèn,drimH,to poison
鴆,lrəms,zhèn,drimH,poison (v.)
陳,lrins,zhèn,drinH,battle array
陣,lrins,zhèn,drinH,battle array
疹,tʰrəns,zhèn,trhinH,fever
鎮,trins,zhèn,trinH,press down
枕,t.kəmʔ-s,zhèn,tsyimH,use as a pillow
振,tərs,zhèn,tsyinH,shake
震,tərs,zhèn,tsyinH,clap of thunder
崢,dzˤreŋ,zhēng,dzreang,"崢嶸 high, precipitous"
丁,tˤreŋ,zhēng,treang,sound of beating
徵,trəŋ,zhēng,tring,examine
爭,tsˤreŋ,zhēng,tsreang,"strife, quarrel"
烝,təŋ,zhēng,tsying,to rise (of steam); steam (v.t.)
脀,təŋ,zhēng,tsying,present (meat) in sacrifice
蒸,təŋ,zhēng,tsying,twigs as firewood
正,C.teŋ,zhēng,tsyeng,1st (month)
征,teŋ,zhēng,tsyeng,to correct; to go on a punitive expedition
撜,təŋʔ,zhěng,tsyingX,lift up
拯,təŋʔ,zhěng,tsyingX,lift up
抍,təŋʔ,zhěng,tsyingX,lift up
整,teŋʔ,zhěng,tsyengX,arrange; orderly
鄭,dreŋs,zhèng,drjengH,Zhèng (a surname)
證,təŋs,zhèng,tsyingH,"testify, prove"
正,teŋs,zhèng,tsyengH,"correct (adj., v.)"
政,teŋs,zhèng,tsyengH,government
証,teŋs,zhèng,tsyengH,remonstrate
知,tre,zhī,trje,know
蜘,tre,zhī,trje,*tre.tro spider
之,tə,zhī,tsyi,go to
之,tə,zhī,tsyi,(3p object pronoun; attributive particle)
脂,kij,zhī,tsyij,"fat, grease"
織,tək,zhī,tsyik,weave (v.)
汁,t.kəp,zhī,tsyip,juice
支,ke,zhī,tsye,"support, hold up"
支,ke,zhī,tsye,"branch (of tree), limb"
枝,ke,zhī,tsye,branch (of tree)
肢,ke,zhī,tsye,limb
胑,ke,zhī,tsye,"branch, limb"
觶,tar,zhī,tsye,ritual vessel
隻,tek,zhī,tsyek,single
植,N-trəks,zhí,driH,"grow, flourish"
植,m-trəks,zhí,driH,"to plant, set upright"
直,N-trək,zhí,drik,straight
躑,drek,zhí,drjek,躑躅 stamp the feet
殖,N-tək,zhí,dzyik,"grow, flourish (v.)"
埴,dək,zhí,dzyik,clay
殖,m-tək,zhí,dzyik,plant (v.)
植,m-tək,zhí,dzyik,to plant; plants
稙,trək,zhí,trik,earliest-sown grain
縶,trip,zhí,trip,"rope, tether; bind"
樴,tək,zhí,tsyik,pole
職,tək,zhí,tsyik,duties of office
執,tip,zhí,tsyip,seize
慹,t-nip,zhí,tsyip,"afraid, to fear"
摭,tAk,zhí,tsyek,"pluck, select"
祉,tʰrəʔ,zhǐ,trhiX,blessings
黹,trijʔ,zhǐ,trijX,embroidery
茝,t-qəʔ,zhǐ,tsyiX,Iris
止,təʔ,zhǐ,tsyiX,foot; stop
趾,təʔ,zhǐ,tsyiX,"foot, heel, toe"
旨,kijʔ,zhǐ,tsyijX,fine-tasting
指,mə.kijʔ,zhǐ,tsyijX,finger; point
砥,tijʔ,zhǐ,tsyijX,whetstone
紙,k.teʔ,zhǐ,tsyeX,paper
咫,keʔ,zhǐ,tsyeX,foot (8 inches)
豸,dˤreʔ,zhì,dreaX,to crouch (before catching prey)
治,lrəs,zhì,driH,"regulate, arrange"
值,m-trəks,zhì,driH,hold upright
雉,lrijʔ,zhì,drijX,pheasant
